channel,url,status,redirect_location,noindex,canonical,canonical_ok,problems
WHOLESALE,https://poshaktaranom.com,200,,,https://poshaktaranom.com,yes,
WHOLESALE,https://poshaktaranom.com/products,200,,,https://poshaktaranom.com/products,yes,
WHOLESALE,https://poshaktaranom.com/linen-collection,200,,,https://poshaktaranom.com/linen-collection,yes,
WHOLESALE,https://poshaktaranom.com/workshop,200,,,https://poshaktaranom.com/workshop,yes,
WHOLESALE,https://poshaktaranom.com/products/fabric/linen,200,,,https://poshaktaranom.com/products/fabric/linen,yes,
WHOLESALE,https://poshaktaranom.com/products/fabric/cotton,200,,,https://poshaktaranom.com/products/fabric/cotton,yes,
WHOLESALE,https://poshaktaranom.com/products/fabric/crepe,200,,,https://poshaktaranom.com/products/fabric/crepe,yes,
WHOLESALE,https://poshaktaranom.com/wholesale,200,,,https://poshaktaranom.com/wholesale,yes,
WHOLESALE,https://poshaktaranom.com/about,200,,,https://poshaktaranom.com/about,yes,
WHOLESALE,https://poshaktaranom.com/contact,200,,,https://poshaktaranom.com/contact,yes,
WHOLESALE,https://poshaktaranom.com/blog,200,,,https://poshaktaranom.com/blog,yes,
WHOLESALE,https://poshaktaranom.com/shipping,200,,,https://poshaktaranom.com/shipping,yes,
WHOLESALE,https://poshaktaranom.com/returns,200,,,https://poshaktaranom.com/returns,yes,
WHOLESALE,https://poshaktaranom.com/privacy,200,,,https://poshaktaranom.com/privacy,yes,
WHOLESALE,https://poshaktaranom.com/terms,200,,,https://poshaktaranom.com/terms,yes,
WHOLESALE,https://poshaktaranom.com/products/coats00015,200,,,https://poshaktaranom.com/products/linen-sport-jacket-erika,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/coats00014,200,,,https://poshaktaranom.com/products/bezayagh-jacket-rose,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/vests-pants00001,200,,,https://poshaktaranom.com/products/cotton-vest-pants-set-nazi,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/coats00013,200,,,https://poshaktaranom.com/products/jacquard-jacket-pardis,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/winter-wear00015,200,,,https://poshaktaranom.com/products/woolen-teddy-manteau-rasta,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/kaftans00002,200,,,https://poshaktaranom.com/products/woolen-kaftan-noora,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/winter-wear00014,200,,,https://poshaktaranom.com/products/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D8%A8%D8%A7%D9%85%D8%A8%D8%B1%DB%8C-winter-wear00014,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/blouses00016,200,,,https://poshaktaranom.com/products/linen-shirt-manteau-golrokh-blouses00016,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/blouses00015,200,,,https://poshaktaranom.com/products/linen-embroidered-manteau-nastaran,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/pants00006,200,,,https://poshaktaranom.com/products/linen-pants-arsa,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/pants00005,200,,,https://poshaktaranom.com/products/linen-pants-hasty,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/coats00012,200,,,https://poshaktaranom.com/products/cotton-crop-jacket-aramis,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/coats00011,200,,,https://poshaktaranom.com/products/chenille-coat-prima,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/winter-wear00013,200,,,https://poshaktaranom.com/products/cotton-tracksuit-set-tara,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/winter-wear00012,200,,,https://poshaktaranom.com/products/teddy-hoodie-sweatshirt-good,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/winter-wear00011,200,,,https://poshaktaranom.com/products/patterned-french-terry-shirt,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/winter-wear00010,200,,,https://poshaktaranom.com/products/woolen-coat-maral,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/winter-wear00009,200,,,https://poshaktaranom.com/products/footer-coat-arka,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/coats00010,200,,,https://poshaktaranom.com/products/chenille-coat-negin,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/coats00009,200,,,https://poshaktaranom.com/products/lyocell-jacket-jacqueline,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/winter-wear00008,200,,,https://poshaktaranom.com/products/memory-lined-raincoat-110,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/winter-wear00007,200,,,https://poshaktaranom.com/products/woolen-overcoat-athena,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/coats00008,200,,,https://poshaktaranom.com/products/chenille-coat-mahour,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/blouses00014,200,,,https://poshaktaranom.com/products/tetoron-basic-shirt-sahar,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/winter-wear00006,200,,,https://poshaktaranom.com/products/wool-coat-katayoun,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/winter-wear00005,200,,,https://poshaktaranom.com/products/footer-coat-dalia,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/winter-wear00004,200,,,https://poshaktaranom.com/products/waterproof-memory-raincoat-110,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/pants00004,200,,,https://poshaktaranom.com/products/maserati-pants-mahin,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/winter-wear00003,200,,,https://poshaktaranom.com/products/crushed-footer-coat-tiara,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/winter-wear00002,200,,,https://poshaktaranom.com/products/lined-memory-raincoat-80,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/winter-wear00001,200,,,https://poshaktaranom.com/products/solid-memory-raincoat-80,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/coats00007,200,,,https://poshaktaranom.com/products/coats00007,yes,
WHOLESALE,https://poshaktaranom.com/products/pants00003,200,,,https://poshaktaranom.com/products/lyocell-baggy-pants-jacqueline,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/coats00006,200,,,https://poshaktaranom.com/products/cotton-overcoat-laleh,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/coats00005,200,,,https://poshaktaranom.com/products/kat-katan-freesize-kian,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/coats00004,200,,,https://poshaktaranom.com/products/kat-katan-kajerah-alice,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/coats00003,200,,,https://poshaktaranom.com/products/cotton-twill-manteau-mahan,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/coats00002,200,,,https://poshaktaranom.com/products/cotton-twill-bomber-jacket-ghazal,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/coats00001,200,,,https://poshaktaranom.com/products/cotton-twill-sport-jacket-dorsa,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/skirt-suits00001,200,,,https://poshaktaranom.com/products/cotton-twill-skirt-suit-tanin,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/pants00002,200,,,https://poshaktaranom.com/products/mom-style-cotton-pants,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/blouses00013,200,,,https://poshaktaranom.com/products/linen-shirt-manteau-sarinaz,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/blouses00012,200,,,https://poshaktaranom.com/products/linen-shirt-manteau-minoo,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/pants00001,200,,,https://poshaktaranom.com/products/linen-pants-neda,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/blouses00011,200,,,https://poshaktaranom.com/products/linen-shirt-manteau-barana,no,CANONICAL_MISMATCH
WHOLESALE,https://poshaktaranom.com/products/blouses00010,200,,,https://poshaktaranom.com/products/linen-shirt-manteau-niki,no,CANONICAL_MISMATCH
